n,Gender,Age,Education,Language,MultiLg,condition ,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,op20,op21,op22,op23,op24,op25,op26,op27,op28,op29,op30,check_item
,Gender - Selected Choice,Age (years):,What is the highest level of education you have completed?,Is English your native language?,"Based on the number of languages you are fluent in, do you consider yourself:",1,Name a wild animal:,Name a female world leader:,Name a popular dance:,Name a landmark:,Name a typical snack:,Name a male singer:,Name a typical drink:,Name a city:,Name a piece of art:,Name a newspaper:,Name a sport player (any sport):,Name a world leader:,Name a building:,Name a book:,Name a television broadcasting organisation:,Name a male football player:,Name a cartoon:,Name a recognisable chocolate brand:,Name a music band:,Name a date in the year:,Name a mountain:,Name a currency:,Name a typical celebration:,Name a female singer:,Name a beach:,Name a flight company:,Name a typical dish:,Name a typical flower:,Name a sport:,Name a tourist city:,Name the current president of the United States:
1,Male,57,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),British,lion,Angela Merkel,tango,Buckingham Palace,crisps,George Michael,Cola,London,Sunflower,Telegraph,David Beckham,Boris Johnson,White House,life of pi,BBC,jordon pickford,Tom and Jerry,Mars,Coldplay,31/12/2021,Everest,Pound,Birthday,Adele,Long Beach,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
2,Female,51,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,fox,Angela Merkel,samba,taj mahal,crisps,lionel ritchie,Cola,London,Mona Lisa,The Sun,Marcus Rashford,Joe Biden,westminister abbey,The Bible,BBC,Harry Kane,Tom and Jerry,Cadbury,The Beatles,25/12/2021,Everest,Pound,Birthday,Adele,Bondi,Easyjet,shepards pie,Rose,Football,Paris,Joe Biden 
3,Female,46,Secondary school degree or equivalent (e.g. A levels),Yes,Bilingual (2),British,elephant,Angela Merkel,waltz,Buckingham Palace,crisps,Justin Bieber,Wine,London,Mona Lisa,The Sun,Marcus Rashford,Joe Biden,Eiffel Tower,The Bible,BBC,Harry Kane,Tom and Jerry,Cadbury,The Beatles,25/12/2021,Everest,Pound,Christmas,Taylor Swift,Brighton,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
4,I prefer not say,34,Secondary school degree or equivalent (e.g. A levels),No,Bilingual (2),British,cat,Hillary Clinton,tango,Machu Pico,crisps,Justin Bieber,Milk,Budapest,Sunflower,The Sun,Andy Murray,Boris Johnson,Gherkin,Oliver Twist,BBC,Harry Kane,Teletubbies,Cadbury,The Beatles,1111,Snowdon,Pound,Christmas,Lady Gaga,Miami Beach,British Airways,Fish and chips,Rose,Football,London,Joe Biden 
5,Female,20,Secondary school degree or equivalent (e.g. A levels),Yes,Bilingual (2),British,fox,Hillary Clinton,dab,London,crisps,Justin Bieber,Water,London,Mona Lisa,The Sunday,Mo Farah,Donald Trump,Big Ben,Harry Potter,BBC,Harry Kane,Horrid Henry,Cadbury,Little Mix,27/02/2021,Everest,Pound,Christmas,Adele,Brighton,Easyjet,English Breakfast,Daisy,Football,London,Joe Biden 
6,Male,37,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,wolf,Angela Merkel,Macarena,big ben,crisps,Elvis,Cola,London,Mona Lisa,The Sun,Cristiano Ronaldo,Boris Johnson,Empire State Building,The Bible,BBC,Harry Kane,The Simpsons,Cadbury,The Beatles,22/02/2021,Ben Nevis,Pound,Christmas,Adele,Bondi,British Airways,Fish and chips,Daffodil,Football,London,Joe Biden 
7,Female,21,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),British,Racoon ,Priti Patel,waltz,big ben,crisps,Ed Sheeran,Cola,London,Mona Lisa,Daily Mail,Harry Kane,Joe Biden,Empire State Building,The Bible,BBC,Harry Kane,Spongebob Squarepants,Cadbury,Oasis,08/07/2021,Everest,Pound,Christmas,Lady Gaga,Brighton,Ryanair,Fish and chips,Rose,Football,London,Joe Biden 
8,Female,27,"Doctoral degree (e.g., PhD, MD, etc.)",Yes,Monolingual (1),British,bear,Not sure,Floss,Eiffel Tower,crisps,Michael Jackson,Coffee,Glasgow,Mona Lisa,Daily Mail,Andy Murray,Donald Trump,Buckingham Palace,The Bible,BBC,Harry Kane,Looney tunes,Cadbury,Oasis,23/07/2021,Everest,Pound,Birthday,Mariah Carey,Blackpool,Easyjet,Fish and chips,Daisy,Football,London,Joe Biden 
9,Male,66,"Doctoral degree (e.g., PhD, MD, etc.)",Yes,Monolingual (1),British,tiger,Jacinda Ardern,tango,trafalgar square,nachos,Tom Jones,Cola,London,Mona Lisa,Daily Mail,football,Joe Biden,Buckingham Palace,Harry Potter,BBC,wayne rooney,Tom and Jerry,Cadbury,Oasis,25/12/2021,Everest,Euro,Christmas,Tina Turner,Bondi,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
10,Male,33,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),British,seagull,Angela Merkel,Twerk,London Eye,crisps,Ed Sheeran,Cola,London,The Scream,The Guardian,Harry Kane,Joe Biden,The Shard,The Bible,BBC,Harry Kane,Tom and Jerry,Cadbury,Oasis,01/01/2021,Everest,Pound,Cheer,Beyonce,Bondi,Easyjet,Fish and chips,Daffodil,cricket,London,Joe Biden 
11,Female,40,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,fox,Angela Merkel,samba,Tower Bridge,Biscuits,David bowie,Tea,London,Mona Lisa,The Sun,Lewis Hamilton,Joe Biden,Buckingham Palace,It ,BBC,Harry Kane,Tom and Jerry,Cadbury,Slayer,25/12/2021,Everest,Pound,Christmas,Adele,Cornwall,DHL,Roast dinner,Lily,Football,Bath,Joe Biden 
12,Female,45,"Bachelor's degree (e.g., Bsc, BA)",No,Bilingual (2),British,bear,Hillary Clinton,waltz,Paris,crisps,Rod Stewart,Coffee,London,Mona Lisa,The Times,football,Donald Trump,White House,Winnie the pooh,BBC,David Beckham,The Simpsons,Cadbury,Queen,05/11/2021,Ben Nevis,Euro,Birthday,Adele,Blackpool,British Airways,lasagne,Rose,Football,Paris,Joe Biden 
13,Male,32,"Master's degree (e.g., MA, Mac)",Yes,Multilingual (more than 2),British,fox,Angela Merkel,tango,big ben,crisps,Frank Sinatra,Cola,London,Mona Lisa,The Times,Lampard,Donald Trump,Gherkin,Harry Potter,BBC,David Beckham,Tom and Jerry,Cadbury,U2,25/12/2021,Everest,Pound,Easter,Dolly Parton,Miami Beach,British Airways,Fish and chips,Daisy,cricket,Blackpool,Joe Biden 
14,Female,40,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,lion,Angela Merkel,latino,stonehenge ,crisps,Robbie Williams,Cola,London,Mona Lisa,The Times,David Beckham,Barack OBama,Empire State Building,Harry Potter,BBC,Cristiano Ronaldo,The Simpsons,Dairy Milk,The Beatles,25/12/2021,Ben Nevis,Pound,Christmas,Beyonce,Copacabana,Easyjet,Fish and chips,Rose,Football,London,Joe Biden 
15,Male,25,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),British,tiger,Beyonce ,salsa,Great wall of China,Pizza,Justin Bieber,Cola,London,Mona Lisa,Punch,David Beckham,Joe Biden,White House,The Bible,BBC,David Beckham,Spongebob Squarepants,Cadbury,Wetheband,25/12/2021,Snowdon,Euro,New year ,Beyonce,Cornwall,Arik,Fish and chips,Rose,Football,Dubai ,Joe Biden 
16,Female,18,Secondary school degree or equivalent (e.g. A levels),Yes,Bilingual (2),British,fox,Kaja kallas ,Renegade ,London Eye,crisps,Michael Jackson,Cola,London,Starry Night,Metro,Messi,Boris Johnson,The Shard,Harry Potter,ITV,Lionel Messi,Looney tunes,Cadbury,BTS,25/09/2021,Everest,Pound,Christmas,Lady Gaga,Hawaii,British Airways,Fish and chips,Lily,Football,London,Joe Biden 
17,Female,31,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),British,tiger,Angela Merkel,tango,stonehenge ,crisps,Robbie Williams,Cola,London,Mona Lisa,The Times,Marcus Rashford,Joe Biden,Empire State Building,Harry Potter,BBC,michael rashford,Mickey Mouse,Cadbury,Coldplay,25/12/2021,Everest,Pound,Christmas,Adele,Bondi,Easyjet,lasagne,Rose,Football,London,Joe Biden 
18,Male,38,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,lion,Angela Merkel,tango,big ben,Biscuits,Ed Sheeran,Tea,London,Mona Lisa,The Times,football,Joe Biden,Buckingham Palace,The Bible,BBC,Harry Kane,Flintstones,Dairy Milk,The Beatles,25/12/2021,Everest,Pound,Christmas,Madonna,Brighton,British Airways,Fish and chips,Daisy,Football,Paris,Joe Biden 
19,Female,37,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,lion,Angela Merkel,conga,Eiffel Tower,crisps,Tom Jones,Cola,cardiff,Mona Lisa,Daily Mail,David Beckham,Joe Biden,The Shard,The Bible,BBC,Harry Kane,Peppa Pig,Cadbury,take that,14/02/2021,Everest,Pound,Christmas,whitney houston,Bondi,British Airways,lasagne,Daisy,Football,Paris,Joe Biden 
20,Male,48,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),British,tiger,Angela Merkel,tango,Pyramids at Giza,crisps,Elton John,Tea,London,Mona Lisa,The Sun,Andy Murray,Boris Johnson,Buckingham Palace,The Bible,BBC,Harry Kane,Spongebob Squarepants,Dairy Milk,The Beatles,25/12/2021,Everest,Pound,Christmas,Madonna,Weymouth,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
21,Female,43,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),British,fox,Angela Merkel,Polka,Louvre,crisps,Neil Sadaka,Coffee,Leeds,Sistine Chapel ceiling,The Times,David Beckham,Joe Biden,Houses of Parliament,Catcher in the Rye,ITV,Harry Kane,Scooby-Doo,Mars,Queen,04/05/2021,Everest,Dollar,Birthday,Adele,Ibiza,Easyjet,Fish and chips,Rose,Football,London,Joe Biden 
22,Male,49,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),British,lion,Angela Merkel,Jive,big ben,crisps,Elton John,Tea,London,Sunflower,Daily Mail,football,Joe Biden,House,The Bible,BBC,Harry Kane,Mickey Mouse,Kit Kat,Oasis,25/12/2021,Everest,Pound,Birthday,Madonna,Brighton,British Airways,Fish and chips,Sunflower,Football,New York,Joe Biden 
23,Male,23,Secondary school degree or equivalent (e.g. A levels),No,Bilingual (2),British,lion,Margaret Thatcher,tango,Eiffel Tower,Cheetos,Patrick Stump,Vodka,London,Scream,The Evening Standard,football,Boris Johnson,Houses of Parliament,Harry Potter,BBC,Cristiano Ronaldo,Thomas The Tank Engine,Cadbury,Oasis,22/07/2021,Snowdon,Pound,Christmas,Mariah Carey,Brighton,Ryanair,Fish and chips,Daisy,Football,London,Joe Biden 
24,Male,28,"Master's degree (e.g., MA, Mac)",Yes,Bilingual (2),British,Hyena,Angela Merkel,Ballroom dancing,London Eye,Chips,Harry Styles,beer,London,Mona Lisa,The Guardian,Messi,Joe Biden,Buckingham Palace,Oliver Twist,BBC,Harry Kane,Peppa Pig,Snickers,The Beatles,09/11/2021,Everest,Pound,Christmas,Beyonce,Brighton,British Airways,Fish and chips,Rose,Football,Paris,Joe Biden 
25,Male,65,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),British,lion,Angela Merkel,jazz,White house,Cola,Michael Jackson,Cola,London,Mona Lisa,BBC,Cristiano Ronaldo,Nelson Mandela,Big Ben,Harry Potter,BBC,Harry Kane,Tom and Jerry,Cadbury,The Beatles,25/12/2021,Everest,Pound,Christmas,Beyonce,Hawaii,Emirates,Pizza,Rose,Football,Paris,Joe Biden 
26,Female,35,"Doctoral degree (e.g., PhD, MD, etc.)",No,Bilingual (2),British,tiger,Michelle Obama,Break Dance,Waterloo,sandwich,Elton John,Cola,New York,Mona Lisa,The New York Times,Cristiano Ronaldo,Donald Trump,Big Ben,Harry Potter,BBC,Harry Kane,Spongebob Squarepants,Cadbury,Chvrches,31/05/2021,Snowdon,Pound,Christmas,Tina Turner,Malibu,British Airways,Porridge,Rose,Football,London,Joe Biden 
27,Male,30,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),British,wolf,Angela Merkel,samba,big ben,crisps,Drake,Orange juice,London,Mona Lisa,The Sun,Harry Kane,Donald Trump,Houses of Parliament,Harry Potter,BBC,Harry Kane,Rick and Morty,Cadbury,The Weekend,25/12/2021,Everest,Pound,Christmas,Adele,Venice Beach,British Airways,Fish and chips,Rose,Football,London,Joe Biden 
28,Male,28,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),World,zebra,Angela Merkel,Macarena,Eiffel Tower,chocolate,Elvis,Water,London,Mona Lisa,The Times,Michael Phelps,Donald Trump,Pyramids,Harry Potter,BBC,Cristiano Ronaldo,Tom and Jerry,Hersheys,One Direction,01/01/2021,Everest,Dollar,Christmas,Adele,Miami Beach,Lufthansa,Pizza,Sunflower,Football,Paris,Joe Biden 
29,Male,29,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),World,fox,Angela Merkel,Moonwalk,London Eye,crisps,Justin Bieber,Cola,London,Mona Lisa,Daily Mail,Cristiano Ronaldo,Donald Trump,Empire State Building,The Bible,Fox,Cristiano Ronaldo,Tom and Jerry,Cadbury,BTS,25/12/2021,Everest,Dollar,Birthday,Beyonce,Miami Beach,British Airways,Burger,Rose,Football,Paris,Joe Biden 
30,Female,32,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),World,wolf,Jacinda Ardern,Zumba,Eiffel Tower,Muffin,Michael Jackson,Lemonade,London,Painting,Wall Street Journal,Cristiano Ronaldo,Jacinda Ardern,Burj Khalifa,Harry Potter,BBC,Cristiano Ronaldo,Tom and Jerry,Dairy Milk,Sony,25/12/2021,Everest,Dollar,Christmas,Lady Gaga,Copacabana,British Airways,Burger,Lily,Football,California,Joe Biden 
31,Male,34,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),World,lion,Kamala Harris,Gun lean,Eiffel Tower,sandwich,John Legend,Water,Paris,Mona Lisa,The Sun,Cristiano Ronaldo,Kim Jon Un,Burj Khalifa,The BFG,espn,Cristiano Ronaldo,The Simpsons,Dairy Milk,One Direction,04/07/2021,Everest,Dollar,Christmas,Adele,Champagne beach,Emirates,Steak,Rose,Football,London,Joe Biden 
32,Male,50,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),World,tiger,Angela Merkel,samba,Eiffel Tower,crisps,Tom Jones,Cola,London,Sunflower,The Times,Lewis Hamilton,Vladimir Putin,St Pauls Cathedral,The Bible,BBC,Cristiano Ronaldo,Looney tunes,Cadbury,The Beatles,04/07/2021,Everest,Dollar,Birthday,Adele,Bondi,Quantas,pasta,Rose,Football,London,Joe Biden 
33,Male,23,"Bachelor's degree (e.g., Bsc, BA)",No,Bilingual (2),World,lion,Angela Merkel,tango,Eiffel Tower,Snickers,Justin Bieber,Tea,London,Mona Lisa,The New York Times,Cristiano Ronaldo,Donald Trump,White House,Harry Potter,BBC,Cristiano Ronaldo,Tom and Jerry,Cadbury,One Direction,04/07/2021,Everest,Dollar,Birthday,Taylor Swift,Santa Monica Beach,Ryanair,Fish and chips,Rose,Football,London,Joe Biden 
34,Male,26,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),World,Coyote,Angela Merkel,salsa,Mount Rushmore,crisps,Michael Jackson,Cola,London,Mona Lisa,The Sun,Cristiano Ronaldo,Donald Trump,Empire State Building,Harry Potter,Sky,Cristiano Ronaldo,The Simpsons,Dairy Milk,Oasis,09/11/2021,Everest,Pound,Birthday,Adele,Bondi,Delta,Fish and chips,Rose,Football,New York,Joe Biden 
35,Male,18,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),World,lion,Margaret Thatcher,tango,Eiffel Tower,crisps,Justin Bieber,beer,London,Mona Lisa,Telegraph,Usain Bolt,Angela Merkel,Empire State Building,Harry Potter,BBC,Cristiano Ronaldo,Tom and Jerry,Cadbury,Jackson 5,25/12/2021,Everest,Dollar,Birthday,Rihanna,Santa Monica Beach,British Airways,Pizza,Sunflower,Football,London,Joe Biden 
36,Male,33,Secondary school degree or equivalent (e.g. A levels),Yes,Bilingual (2),World,wolf,Angela Merkel,Moonwalk,Eiffel Tower,crisps,Bruce Springsteen,Water,Amsterdam,The Nightwatch,The New York Times,Cristiano Ronaldo,Joe Biden,Empire State Building,Fifty Shades of Grey,BBC,Cristiano Ronaldo,Tom and Jerry,Cadbury,The Rolling Stones,14/06/2021,Everest,Dollar,Floss,Beyonce,Bondi,British Airways,Pizza,Rose,Football,London,Joe Biden 
37,Female,42,"Bachelor's degree (e.g., Bsc, BA)",No,Bilingual (2),World,bear,Angela Merkel,salsa,Statue of Liberty,nachos,shawn mendes,cuba libre,London,Mona Lisa,The New York Times,Cristiano Ronaldo,Donald Trump,Empire State Building,1984,BBC,Lionel Messi,Tom and Jerry,Kit Kat,Oasis,01/01/2021,Everest,Pound,New Years eve,Dua Lipa,Copacabana,american airlines,Fish and chips,Rose,Football,Paris,Joe Biden 
38,Male,41,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),World,tiger,Angela Merkel,waltz,Statue of Liberty,sandwich,Jay-Z,Cola,London,Mona Lisa,The New York Times,Messi,Joe Biden,Empire State Building,The Bible,BBC,Cristiano Ronaldo,Looney tunes,Cadbury,U2,25/12/2021,Everest,Dollar,New year ,Adele,Coney Island,British Airways,Rice,Rose,Football,London,Joe Biden 
39,Male,42,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),World,tiger,Angela Merkel,Lambada,Statue of Liberty,crisps,Justin Bieber,Milk,Paris,Mona Lisa,The New York Times,David Beckham,Joe Biden,Empire State Building,Lord of the Flies,BBC,David Beckham,The Simpsons,Dairy Milk,U2,25/12/2021,Everest,Pound,Christmas,Madonna,Bondi,British Airways,lasagne,Daisy,Football,New York,Joe Biden 
40,Male,47,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),World,fox,Angela Merkel,tango,Statue of Liberty,crisps,Justin Bieber,Cola,London,Mona Lisa,The New York Times,Cristiano Ronaldo,Joe Biden,Empire State Building,1984,BBC,Cristiano Ronaldo,Mickey Mouse,Cadbury,EMI,31/12/2021,Washington Monument,Dollar,Birthday,Taylor Swift,Byron Bay,British Airways,Curry,Sunflower,Football,Paris,Joe Biden 
41,Male,36,Secondary school degree or equivalent (e.g. A levels),Yes,Multilingual (more than 2),World,wolf,Angela Merkel,tap dance,Pyramids at Giza,Cheetos,Ricky Martin,Cola,London,Pomegranate & Lime,daily express,Rafael Nadal,Vladimir Putin,trump tower,endless love,BBC,nani,Peppa Pig,Buchanans,Aerosmith,12/01/2021,Everest,Dollar,Birthday,Ariana Grande,pattya,British Airways,Fish and chips,Lily,Football,Singapore,Joe Biden 
42,Male,44,"Doctoral degree (e.g., PhD, MD, etc.)",Yes,Bilingual (2),World,giraffe,Angela Merkel,tango,leaning tower of pisa,chocolate,Michael Jackson,Water,lisbon,Mona Lisa,The Guardian,Cristiano Ronaldo,Joe Biden,The Shard,The Northern Lights,Channel 4,Cristiano Ronaldo,Ren & Stimpy,Mars,Radiohead,21/02/2021,Everest,Euro,Easter,Madonna,Redondo Beach,TAP,beans on toast,Rose,Football,Paris,Joe Biden 
43,Female,36,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),World,zebra,Angela Merkel,samba,Land's End,Peanuts,Robbie Williams,Gin,London,Mona Lisa,The Times,Cristiano Ronaldo,Joe Biden,Empire State Building,The Bible,BBC,Cristiano Ronaldo,Mickey Mouse,Snickers,Coldplay,25/12/2021,Everest,Dollar,Christmas,Annie Lennox,Bondi,Emirates,lasagne,Daisy,Football,Paris,Joe Biden 
44,Female,27,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),World,lion,Angela Merkel,Ballet,Eiffel Tower,crisps,Justin Bieber,Cola,Amsterdam,Mona Lisa,The Guardian,Cristiano Ronaldo,Boris Johnson,Empire State Building,The Bible,BBC,Cristiano Ronaldo,The Simpsons,Cadbury,Little Mix,25/12/2021,Kilimanjaro,Euro,Birthday,Adele,Bondi,British Airways,Fish and chips,Sunflower,Football,Paris,Joe Biden 
45,Female,45,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),World,lion,Margaret Thatcher,running man,St Paul's cathedral,strawberries,Elton John,Cola,London,Don't know any,The Times,Andy Murray,Barack OBama,St Pauls Cathedral,Harry Potter,NBC,Cristiano Ronaldo,Tom and Jerry,Snickers,The Beatles,25/12/2021,Kilimanjaro,Pound,Christmas,Celine Dion,Califonia,Virgin,Fish and chips,Lily,Football,Paris,Joe Biden 
46,Female,19,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),World,Hare,Michelle Obama,robot,Statue of Liberty,crisps,Harry Styles,Water,Amsterdam,Mona Lisa,The Sun,Jack Grealish,Barack OBama,Skyscraper,Coraline,BBC,Cristiano Ronaldo,Looney tunes,Cadbury,abba,25/12/2021,Everest,Dollar,Christmas,doja cat,mumbles,Ryanair,pasta,Sunflower,Football,Paris,Joe Biden 
47,Female,35,Secondary school degree or equivalent (e.g. A levels),Yes,Bilingual (2),World,elephant,Angela Merkel,Rock,Eiffel Tower,Pizza,Damien Saez,beer,Paris,Mona Lisa,The Times,David Beckham,Macron,london tower,Les fourmis,cnn,David Beckham,Tom and Jerry,Lindt,Pink floyds,01/01/2021,Everest,Dollar,Christmas,Cher,St tropez,Ryanair,pasta,Rose,Football,Paris,Joe Biden 
48,Male,36,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),World,lion,Jacinda Ardern,salsa,Eiffel Tower,Chips,Ed Sheeran,Water,Paris,Mona Lisa,The Sun,Cristiano Ronaldo,Joe Biden,Empire State Building,Harry Potter,BBC,Cristiano Ronaldo,The Simpsons,Cadbury,Foo Fighters,04/07/2021,Everest,Dollar,Christmas,Taylor Swift,Copacabana,British Airways,Pizza,Rose,Football,London,Joe Biden 
49,Male,23,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),World,lion,Angela Merkel,Moonwalk,Chernobyl,crisps,Harry Styles,beer,London,Mona Lisa,The New York Times,Cristiano Ronaldo,Donald Trump,White House,1984,BBC,Cristiano Ronaldo,The Simpsons,Cadbury,Linkin Park,25/12/2021,Everest,Dollar,Birthday,Taylor Swift,Long Beach,TUI,Fish and chips,Rose,Football,LA,Joe Biden 
50,Male,26,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),World,bear,Hillary Clinton,Floss,Eiffel Tower,Apple,Frank Sinatra,Water,London,Mona Lisa,The Guardian,Tom Brady,Joe Biden,White House,The Bible,BBC,Cristiano Ronaldo,Tom and Jerry,Cadbury,The Beatles,06/07/2021,Everest,Dollar,Christmas,Ariana Grande,Bondi,British Airways,pasta,Rose,Football,Paris,Joe Biden 
51,Male,31,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),World,lion,Angela Merkel,Break Dance,Eiffel Tower,crisps,Justin Bieber,Water,London,Mona Lisa,Daily Mail,Cristiano Ronaldo,Joe Biden,Empire State Building,Harry Potter,BBC,Cristiano Ronaldo,Pokemon,Cadbury,Coldplay,25/12/2021,Everest,Pound,Birthday,Taylor Swift,Miami Beach,British Airways,Burger,Rose,Football,London,Joe Biden 
52,Male,42,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),World,Crocodile,Angela Merkel,Rumba,Tower Bridge,crisps,Bono,Coffee,Carlisle,Starry Night,The Star,Andy Murray,Joe Biden,Empire State Building,Catcher in the Rye,BBC,Lionel Messi,The Simpsons,Mars,Iron Maiden,04/07/2021,Everest,Dollar,Christmas,Adele,Copacabana,Emirates,Fish and chips,Rose,Football,Paris,Joe Biden 
53,Female,35,Did not graduate high school,Yes,Monolingual (1),World,tiger,Angela Merkel,salsa,Eiffel Tower,crisps,corey taylor,Orange juice,London,Mona Lisa,The Guardian,Tom Brady,Joe Biden,Houses of Parliament,The Bible,BBC,Cristiano Ronaldo,The Simpsons,Cadbury,The Beatles,25/12/2021,Everest,Dollar,Christmas,Beyonce,Bondi,Virgin,Roast dinner,Rose,Football,Paris,Joe Biden 
54,Male,34,"Bachelor's degree (e.g., Bsc, BA)",Yes,Bilingual (2),World,lion,Nicole Sheer,Shapes,Eiffel Tower,crisps,Ed Sheeran,Water,London,Mona Lisa,The Times,Cristiano Ronaldo,Joe Biden,Eiffel Tower,Harry Potter,BBC,Cristiano Ronaldo,The Simpsons,Cadbury,The Beatles,25/12/2021,Everest,Dollar,Christmas,Adele,Champagne beach,British Airways,Steak,Rose,Football,Paris,Joe Biden 
55,Female,34,"Bachelor's degree (e.g., Bsc, BA)",Yes,Monolingual (1),World,bear,Angela Merkel,salsa,Great wall of China,Chips,Ed Sheeran,Vodka,Edinburgh ,Mona Lisa,The Guardian,Michael Jordan,Donald Trump,White House,To Kill a Mockingbird,BBC,Lionel Messi,The Simpsons,Dairy Milk,Little Mix,25/12/2021,Everest,Euro,Christmas,Kylie Minogue ,Miami Beach,Emirates,lasagne,Rose,Football,London,Joe Biden 
56,Female,23,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),World,elephant,Angela Merkel,Macarena,Statue of Liberty,crisps,Freddie Mercury,Cola,New York,The girl with the pearl earrings,The Times,David Beckham,Angela Merkel,The Shard,The Bible,BBC,Cristiano Ronaldo,Spongebob Squarepants,Cadbury,Queen,01/01/2021,Everest,Dollar,Birthday,Beyonce,Myrtle,British Airways,Fish and chips,Sunflower,Football,New York,Joe Biden 
57,Male,29,"Master's degree (e.g., MA, Mac)",Yes,Monolingual (1),World,bear,Angela Merkel,Cha cha,Houses of Parliament,crisps,Bob Dylan,Tea,London,The Scream,The Times,David Beckham,Joe Biden,Houses of Parliament,The Bible,BBC,Cristiano Ronaldo,The Simpsons,Cadbury,Red Hot Chili peppers,25/12/2021,Everest,Dollar,Birthday,Madonna,Gold Coast,american airlines,Fish and chips,Daisy,Football,rome,Joe Biden 
58,Male,36,Secondary school degree or equivalent (e.g. A levels),Yes,Monolingual (1),World,tiger,Angela Merkel,tango,Washington Monument,crisps,Ricky Martin,beer,Paris,Mona Lisa,The Times,Cristiano Ronaldo,Joe Biden,Empire State Building,The Bible,BBC,Harry Kane,Tom and Jerry,Cadbury,Foo Fighters,July,Everest,Dollar,Christmas,Lady Gaga,Venice Beach,British Airways,pasta,Daisy,Football,Venice,Joe Biden 